"","GO","AncestorGroup","AncestorGroupIndex","Color","Label"
"47","GO.0000724","nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular response to stimulus,response to stress",3194,596,0
"48","GO.0000727","nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular response to stimulus,response to stress",3194,596,0
"49","GO.0000731","nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular response to stimulus,response to stress",2867,541,0
"50","GO.0000737","nitrogen compound metabolic process,catabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3077,566,0
"51","GO.0000902","anatomical structure morphogenesis,anatomical structure development",79,22,0
"52","GO.0000956","nitrogen compound metabolic process,catabolic process,negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,negative regulation of biological process,regulation of biological process",3117,576,0
"53","GO.0001501","multicellular organism development,anatomical structure development",2451,469,0
"54","GO.0001502","cell aggregation,multicellular organism development,anatomical structure morphogenesis,anatomical structure development",556,94,0
"55","GO.0001503","907",907,907,0
"56","GO.0001504","establishment of localization,regulation of biological quality",1685,349,0
"57","GO.0001508","regulation of biological quality",3607,707,0
"58","GO.0001510","nitrogen compound metabolic process,methylation,cellular metabolic process,primary metabolic process,organic substance metabolic process",3219,604,0
"59","GO.0001516","biosynthetic process,cellular metabolic process,primary metabolic process,small molecule metabolic process,organic substance metabolic process",188,32,0
"60","GO.0001523","cellular metabolic process,primary metabolic process,organic substance metabolic process",1558,313,0
"61","GO.0001541","reproductive process,developmental process involved in reproduction,multicellular organism development,anatomical structure development",3996,782,0
"62","GO.0001556","sexual reproduction,reproductive process,multicellular organism reproduction,cellular process involved in reproduction in multicellular organism,cellular developmental process,developmental process involved in reproduction,multi-organism reproductive process,multicellular organismal reproductive process,developmental maturation,anatomical structure development",4418,822,0
"63","GO.0001558","cell growth,regulation of cellular process,cellular component organization or biogenesis,regulation of growth,regulation of biological process",1247,221,0
"64","GO.0001561","catabolic process,cellular metabolic process,primary metabolic process,small molecule metabolic process,organic substance metabolic process",360,60,0
"65","GO.0001568","multicellular organism development,anatomical structure development",2451,469,0
"66","GO.0001569","morphogenesis of a branching structure,multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2204,428,0
"67","GO.0001570","cellular developmental process,multicellular organism development,anatomical structure morphogenesis,anatomical structure development",1406,265,0
"68","GO.0001574","nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",2860,539,0
"69","GO.0001578","microtubule-based process,cellular component organization or biogenesis",2149,421,0
"70","GO.0001580","system process,response to chemical,detection of stimulus",4677,853,0
"71","GO.0001649","cellular developmental process,ossification",1421,268,0
"72","GO.0001654","multicellular organism development,anatomical structure development",2451,469,0
"73","GO.0001655","multicellular organism development,anatomical structure development",2451,469,0
"74","GO.0001656","multicellular organism development,anatomical structure development",2451,469,0
"75","GO.0001657","multicellular organism development,anatomical structure development",2451,469,0
"76","GO.0001658","morphogenesis of a branching structure,multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2203,427,0
"77","GO.0001659","multicellular organismal homeostasis,regulation of biological quality",2639,492,0
"78","GO.0001662","behavioral defense response,multicellular organismal response to stress,response to stress",158,27,0
"79","GO.0001666","response to stress,response to abiotic stimulus",4234,806,0
"80","GO.0001675","sexual reproduction,reproductive process,multicellular organism reproduction,cellular process involved in reproduction in multicellular organism,cellular developmental process,cellular component organization or biogenesis,developmental process involved in reproduction,multi-organism reproductive process,multicellular organismal reproductive process,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",4399,820,0
"81","GO.0001676","cellular metabolic process,primary metabolic process,small molecule metabolic process,organic substance metabolic process",1564,314,0
"82","GO.0001678","cellular homeostasis,regulation of biological quality",1481,289,0
"83","GO.0001682","nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181,592,0
"84","GO.0001701","multicellular organism development,anatomical structure development",2451,469,0
"85","GO.0001702","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"86","GO.0001706","multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471,472,0
"87","GO.0001707","multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471,472,0
"88","GO.0001708","cellular developmental process",1369,250,0
"89","GO.0001709","cellular developmental process",1369,250,0
"90","GO.0001731","nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",2865,540,0
"91","GO.0001732","nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",2865,540,0
"92","GO.0001736","anatomical structure morphogenesis,anatomical structure development",79,22,0
"93","GO.0001755","movement of cell or subcellular component,cellular developmental process,localization of cell,multicellular organism development,anatomical structure development,cell motility",2302,440,0
"94","GO.0001756","multicellular organism development,pattern specification process,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2530,481,0
"95","GO.0001764","movement of cell or subcellular component,cellular developmental process,localization of cell,multicellular organism development,anatomical structure development,cell motility",2302,440,0
"96","GO.0001771","leukocyte activation,cell activation,cell recognition",2069,403,0
"97","GO.0001774","leukocyte activation,cell activation",2066,401,0
"98","GO.0001775","907",907,907,0
"99","GO.0001778","cellular component organization or biogenesis,response to stress",1366,249,0
"100","GO.0001779","immune system development,leukocyte activation,cell activation,cellular developmental process,multicellular organism development,anatomical structure development",2009,388,0
"101","GO.0001782","leukocyte homeostasis,regulation of biological quality",2084,404,0
"102","GO.0001817","regulation of metabolic process,organic substance metabolic process,cytokine production,regulation of multicellular organismal process,regulation of biological process",3859,768,0
"103","GO.0001818","negative regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,cytokine production,regulation of multicellular organismal process,negative regulation of multicellular organismal process,negative regulation of biological process,regulation of biological process",2800,527,0
"104","GO.0001819","positive regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,cytokine production,regulation of multicellular organismal process,positive regulation of multicellular organismal process,positive regulation of biological process,regulation of biological process",3545,696,0
"105","GO.0001822","multicellular organism development,anatomical structure development",2451,469,0
"106","GO.0001823","multicellular organism development,anatomical structure development",2451,469,0
"107","GO.0001824","multicellular organism development,anatomical structure development",2451,469,0
"108","GO.0001825","multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471,472,0
"109","GO.0001829","cellular developmental process,multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",1408,266,0
"110","GO.0001833","cell population proliferation,multicellular organism development,developmental growth,anatomical structure development",1295,226,0
"111","GO.0001835","multicellular organism development,organism emergence from protective structure,anatomical structure development",2520,478,0
"112","GO.0001836","cell communication,signal transduction,cell death,regulation of cellular process,cellular response to stimulus,cellular component organization or biogenesis,regulation of biological process",745,130,0
"113","GO.0001837","cellular developmental process,multicellular organism development,anatomical structure development",1405,264,0
"114","GO.0001843","multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471,472,0
"115","GO.0001867","immune effector process,activation of immune response,regulation of immune system process,positive regulation of immune system process,immune response,response to other organism,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to stress,response to external stimulus,response to biotic stimulus,regulation of biological process",1789,363,0
"116","GO.0001881","cellular metabolic process,organic substance metabolic process",1538,308,0
"117","GO.0001886","cellular developmental process,anatomical structure morphogenesis,anatomical structure development",1374,253,0
"118","GO.0001889","multicellular organism development,anatomical structure development",2451,469,0
"119","GO.0001890","reproductive process,developmental process involved in reproduction,multicellular organism development,anatomical structure development",3996,782,0
"120","GO.0001892","reproductive process,developmental process involved in reproduction,multicellular organism development,anatomical structure development",3996,782,0
"121","GO.0001894","multicellular organismal homeostasis,regulation of biological quality",2639,492,0
"122","GO.0001895","multicellular organismal homeostasis,regulation of biological quality",2639,492,0
"123","GO.0001916","immune effector process,regulation of immune system process,positive regulation of immune system process,immune response,cell killing,positive regulation of cellular process,regulation of cellular process,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,regulation of biological process",1919,373,0
"124","GO.0001921","positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,organic substance metabolic process,positive regulation of cellular process,regulation of cellular process,regulation of signaling,positive regulation of signaling,positive regulation of biological process,regulation of biological process",3527,688,0
"125","GO.0001932","nitrogen compound metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,regulation of cellular process,regulation of biological process",3336,641,0
"126","GO.0001933","nitrogen compound metabolic process,negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,negative regulation of cellular process,regulation of cellular process,negative regulation of biological process,regulation of biological process",3250,616,0
"127","GO.0001935","cell population proliferation",1280,223,0
"128","GO.0001937","cell population proliferation,negative regulation of cellular process,regulation of cellular process,negative regulation of biological process,regulation of biological process",1310,230,0
"129","GO.0001938","cell population proliferation,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",1324,234,0
"130","GO.0001942","multicellular organism development,molting cycle process,molting cycle,anatomical structure development",2491,475,0
"131","GO.0001944","multicellular organism development,anatomical structure development",2451,469,0
"132","GO.0001946","multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471,472,0
"133","GO.0001947","multicellular organism development,pattern specification process,anatomical structure morphogenesis,anatomical structure development",2526,480,0
"134","GO.0001952","cell adhesion,regulation of cellular process,regulation of biological process",550,93,0
"135","GO.0001953","cell adhesion,negative regulation of cellular process,regulation of cellular process,negative regulation of biological process,regulation of biological process",534,88,0
"136","GO.0001954","cell adhesion,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",541,91,0
"137","GO.0001958","ossification,multicellular organism development,anatomical structure morphogenesis,anatomical structure development",3381,651,0
"138","GO.0001960","cell communication,signal transduction,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,negative regulation of signaling,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,response to chemical,regulation of biological process",843,139,0
"139","GO.0001961","cell communication,signal transduction,positive regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,positive regulation of signaling,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to chemical,regulation of biological process",888,147,0
"140","GO.0001963","cell communication,cell-cell signaling",568,95,0
"141","GO.0001964","system process,response to external stimulus",4679,854,0
"142","GO.0001967","feeding behavior",1717,355,0
"143","GO.0001974","tissue remodeling",4690,858,0
"144","GO.0001975","response to chemical",4205,795,0
"145","GO.0002003","nitrogen compound metabolic process,hormone metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,system process,regulation of biological quality",3216,603,0
"146","GO.0002009","anatomical structure morphogenesis,anatomical structure development",79,22,0
"147","GO.0002011","anatomical structure morphogenesis,anatomical structure development",79,22,0
