"","cutHeight","minClusterSize","randIndex"
"1",0.99,10,0.0127695390781563
"2",0.99,20,0.0127695390781563
"3",0.99,30,0.0127695390781563
"4",0.991,10,0.0127695390781563
"5",0.991,20,0.0127695390781563
"6",0.991,30,0.0127695390781563
"7",0.992,10,0.0127695390781563
"8",0.992,20,0.0127695390781563
"9",0.992,30,0.0127695390781563
"10",0.993,10,0.0127695390781563
"11",0.993,20,0.0127695390781563
"12",0.993,30,0.0127695390781563
"13",0.994,10,0.0127695390781563
"14",0.994,20,0.0127695390781563
"15",0.994,30,0.0127695390781563
"16",0.995,10,0.0629739478957916
"17",0.995,20,0.0127695390781563
"18",0.995,30,0.0127695390781563
"19",0.996,10,0.088376753507014
"20",0.996,20,0.0127695390781563
"21",0.996,30,0.0127695390781563
"22",0.997,10,0.102661322645291
"23",0.997,20,0.0127695390781563
"24",0.997,30,0.0127695390781563
"25",0.998,10,0.243278557114228
"26",0.998,20,0.0127695390781563
"27",0.998,30,0.0127695390781563
"28",0.999,10,0.495022044088176
"29",0.999,20,0.0127695390781563
"30",0.999,30,0.0127695390781563
