,prediction,Age
7471147138_R03C01,60.492206043547704,61.29999999999999
GSM2333925,74.39952711299456,75.0
7786915016_R03C01,48.65615894986013,46.1
7471147065_R02C01,60.5000675238276,60.49999999999999
7471147122_R05C01,49.12620132127997,47.8
7786923015_R06C02,46.90075920372219,46.3
7796814021_R02C01,40.293671164843985,35.9
7507875158_R06C02,39.74379025383317,38.1
7786923050_R03C01,43.78591609563299,39.8
7786915141_R05C02,49.924231953574676,51.7
7786915009_R04C01,72.69795262320201,74.4
7471147163_R03C01,56.749823710904906,55.6
GSM2334577,22.730625236843643,21.0
7507875130_R06C01,41.28314268968194,41.4
7507875130_R04C01,58.99616063004882,56.9
7471147074_R02C01,59.88213489314402,59.4
7786915004_R06C02,51.190029291770486,48.6
7786915008_R01C01,50.13539968644135,51.6
7471147070_R04C01,42.69541725840609,42.39999999999999
7786923004_R06C01,48.86120779215713,53.1
GSM2334553,26.876859093835833,26.0
7471147094_R01C02,71.79129622300083,69.2
7471147141_R06C01,37.89730391207941,35.3
7786915055_R02C02,47.111639169033836,57.3
7471147113_R06C02,40.22978381117751,37.5
7512551046_R03C01,52.667920357298634,54.0
GSM2333951,83.30328003603579,91.00000000000001
GSM2334558,36.691277054908426,33.0
7471147127_R04C02,37.32708434848742,36.3
7786915084_R06C01,48.07690538181417,48.6
7786915046_R01C01,46.78917002915519,50.900000000000006
7786915051_R04C01,46.735033746832855,49.4
7471147146_R05C01,32.614020960093164,35.1
GSM2334131,22.196913678676534,22.000000000000004
7471147141_R05C02,56.252240322271675,60.89999999999999
7471147074_R01C02,53.89146581150922,57.4
7786923064_R01C01,49.96597382879227,50.2
7507875026_R03C02,39.940557938998765,35.5
7507875153_R04C01,49.11023152612487,49.3
7507875026_R02C02,54.87326109294814,54.9
7786915083_R05C01,68.01890535498764,64.7
7786923038_R05C02,44.9478618368659,46.7
7471147027_R01C02,50.034758395734606,50.39999999999999
7786923005_R02C01,46.875683976971125,42.39999999999999
GSM2334610,53.16834158283003,53.00000000000001
7786923028_R04C01,41.836168235740246,41.2
7471147095_R01C01,53.77060656271524,54.0
GSM2334627,48.88623707126583,53.00000000000001
7786915160_R05C01,47.71130284796688,45.10000000000001
7786923037_R02C02,68.0425902437103,69.29999999999998
GSM2334187,47.50451743088878,47.0
7786923028_R02C02,66.74017362512178,66.5
7471147143_R02C02,47.32901610217249,46.599999999999994
7471147068_R01C01,56.007401714704095,54.3
7786923049_R03C02,72.80267281143263,73.1
7796806165_R03C01,49.06544907379301,45.3
7786923005_R04C01,38.05978172494936,39.2
7796814021_R04C01,52.52765948606743,50.6
7796814014_R04C01,55.2419452363996,54.2
GSM2333932,46.51248008671975,45.0
7786915090_R02C02,52.82731054578777,53.1
GSM2334240,39.38725350627533,37.0
7786915141_R04C02,64.94910251092296,64.9
7786915028_R06C01,51.60284641632494,47.099999999999994
7786915121_R06C02,66.5854632767606,69.29999999999998
7512560138_R06C02,43.57597334782825,42.2
7786915113_R02C01,38.21252093379823,39.5
7471147107_R01C01,50.14689992951725,53.3
7507875120_R02C01,54.19202135832018,52.5
GSM2334178,14.942089578248588,15.0
GSM2334629,50.523416025891976,52.0
7507875091_R04C01,66.87141175438532,58.2
GSM2334418,43.43856593568114,46.0
GSM2334435,56.59412030329256,57.0
GSM2334236,37.536934503098024,37.0
7507875047_R04C02,39.93143631370921,38.7
7786915061_R04C02,58.526374861445895,58.7
7786915117_R03C02,55.14656740291709,54.2
7786915008_R06C01,65.22814338357472,67.4
7786923010_R05C02,59.052920292254605,58.5
7786923027_R04C02,44.6776701988726,43.9
7786923028_R03C01,53.2135546706302,47.60000000000001
GSM2334464,54.62147848898056,57.0
7471147089_R03C01,53.400771424541034,49.599999999999994
GSM2334138,17.228594511772183,19.0
7471147083_R05C02,58.413656723812466,56.8
7786923038_R04C01,43.22108355918331,43.2
GSM2334275,41.50805190185125,41.0
7471147004_R03C01,60.087435642443054,57.199999999999996
7471147098_R02C01,45.24131207734949,49.099999999999994
GSM2334378,65.30177059802631,69.0
7471147047_R06C01,48.82459234877737,52.89999999999999
7471147096_R04C02,54.181698065638315,53.00000000000001
7471147095_R01C02,55.77024590637236,52.5
7786915149_R04C01,54.66663802578278,64.5
7471147092_R05C01,50.363364429968335,50.5
7471147069_R04C02,61.00992055812666,64.30000000000001
7786915161_R01C01,67.51920207005149,69.5
7471147064_R05C02,36.371557633088074,35.3
7471147121_R06C01,56.43964021424434,56.9
GSM2334570,72.47843660553511,71.0
7786915135_R01C02,64.02316047599241,74.1
7786915153_R05C02,45.388811446847214,41.9
7786915048_R04C02,47.54833730465009,46.1
7786923017_R05C02,68.85867870849475,71.3
7471147078_R02C01,43.54185538607606,47.099999999999994
7507875154_R01C02,47.753276473363925,42.7
7471147118_R04C02,46.388708937472884,49.0
7471147120_R03C02,52.560656765509236,50.10000000000001
7786915042_R04C02,53.31125887405912,51.9
7786923003_R05C01,50.782344670356906,53.5
7471147128_R02C01,51.794089958115016,50.5
7786915038_R04C01,49.434310650277055,52.4
7786923022_R06C01,49.655191599848074,50.5
7786915133_R01C01,69.85533594359438,65.0
7786915113_R05C01,60.72221620760242,62.5
7786923012_R04C02,48.718215413805964,47.39999999999999
7786923003_R01C01,51.50882058054732,49.599999999999994
7786915108_R04C02,64.56611725348729,66.5
7786915161_R01C02,52.82131931766525,53.400000000000006
GSM2333963,15.306634388555253,17.0
7471147049_R04C01,39.31897299438073,41.1
7786923015_R04C01,43.492922438713826,40.1
7471147087_R06C01,54.67992759905926,56.2
7507875119_R02C02,56.989966890114054,58.5
7786915048_R06C01,52.260844427734696,47.2
7786923004_R05C01,51.74702171502672,49.3
7786915137_R02C01,48.09762305315493,48.400000000000006
GSM2334068,53.10895295447328,53.00000000000001
7786915122_R01C02,37.47783334146355,35.5
7786915046_R03C01,57.478801361522436,55.0
7786915035_R06C02,58.08227950994807,55.6
7507875142_R01C01,49.082782269535016,47.3
GSM2334252,63.13158420770313,63.0
GSM2334387,44.649358300789046,38.0
7471147068_R03C01,41.646124315801934,43.2
7471147146_R04C02,60.765889130291356,53.400000000000006
7786915048_R02C01,43.64363667039606,41.5
7507875063_R01C01,68.24950109294548,71.0
7471147116_R03C01,51.30619801380612,48.8
7786915129_R03C02,44.99940936993114,40.9
7786915119_R04C01,53.88554812816091,53.00000000000001
7786915114_R03C02,44.625394173457664,45.900000000000006
7786915062_R05C02,48.7042494779808,47.7
7471147006_R03C01,63.22124625712746,61.8
7796814020_R02C01,44.81158482403798,45.5
7786923041_R06C02,49.17469144928991,49.4
GSM2334282,14.797671089310494,18.0
GSM2334508,83.03270984200384,80.0
GSM2334548,44.66524348293981,45.0
GSM2333928,66.24411891431345,63.0
GSM2334537,54.52699797572649,54.0
GSM2334431,30.959549606692192,29.0
7786915134_R05C02,36.51933299855701,35.7
7796806168_R01C01,55.77056859219156,55.50000000000001
7786915109_R04C02,42.94641789734959,42.0
7786915150_R02C02,69.15374821222969,70.8
7471147115_R04C01,42.71221396035809,40.0
GSM2333964,13.843428326808475,17.0
7471147027_R03C02,69.6242896520629,69.1
7507867089_R04C02,40.41789034982514,39.6
GSM2334381,47.68806086949384,48.0
GSM2334436,16.926604010834446,17.0
7796814001_R04C02,45.52869104123067,44.89999999999999
7471147106_R05C01,57.9452695829154,57.99999999999999
GSM2334008,41.46546148660041,41.0
GSM2334420,44.49026810103929,42.0
7471147118_R03C02,50.55349231902142,50.2
7786915127_R03C01,34.48759675026602,35.2
7786923056_R06C01,44.4381479189463,41.7
7471147102_R03C01,63.82825985639581,71.3
7786923010_R02C01,45.56309426768888,47.0
7786915108_R06C01,51.230640221864405,48.3
7471147061_R02C02,35.767242299022996,36.3
7786915016_R04C01,36.68008072377221,36.3
7471147047_R03C01,49.90208683433373,51.1
GSM2334121,33.7123009197357,32.0
7471147115_R01C01,49.80527368971692,48.3
7512560094_R02C02,63.35811289971742,58.5
7507875138_R02C01,63.951835912085535,66.4
7786915090_R03C01,63.03443014743796,58.5
7471147075_R06C01,48.3469460141788,45.8
7786915079_R01C02,50.780495546914764,49.5
7471147069_R06C02,47.23495674141323,45.10000000000001
7786915138_R06C01,50.966982566697126,54.1
7471147077_R01C01,43.39450432813021,47.099999999999994
GSM2334209,19.63281531190581,19.0
7786923011_R03C01,38.9061022114537,40.4
7786915049_R04C02,62.62266434139716,68.1
7786915123_R04C02,66.71013089424497,71.6
GSM2334135,11.369006360828056,15.0
7786923027_R02C01,52.990532560472374,55.900000000000006
7471147118_R05C02,45.897149868942975,42.39999999999999
7796806129_R06C01,52.82576177606024,55.2
7471147064_R06C02,47.38486097493656,46.7
7471147006_R04C01,48.739958001102735,49.4
7786915052_R01C02,67.9976413267341,71.79999999999998
GSM2334133,49.558203296673284,47.0
7507875155_R02C02,58.624237469751634,56.6
7471147120_R06C02,51.847004319693184,52.5
GSM2334557,16.878924803481798,18.0
7471147077_R03C02,42.09594888792301,41.8
GSM2334599,43.96648014341086,42.0
7471147069_R03C01,50.6010114258645,55.900000000000006
GSM2334262,13.502391736146926,15.0
7786915028_R06C02,47.84088386571206,46.1
7471147134_R05C01,51.15680675046178,53.2
GSM2333977,47.342964219766905,45.0
7786915117_R02C01,65.05696832153929,73.8
7507875120_R03C02,42.54425421346423,41.7
7786915063_R03C01,55.0740979421208,54.3
7471147062_R03C01,37.95711038424359,36.3
7507875118_R03C02,56.56731444346279,58.3
7786923069_R03C01,60.47625029627206,60.89999999999999
GSM2334303,64.16792086651947,63.0
GSM2334272,56.194176432643296,55.0
GSM2334114,70.2834346686945,77.0
7507875062_R03C01,63.011830381858054,65.6
7471147057_R04C02,40.3157856758657,37.4
GSM2334502,62.47859266330769,61.0
GSM2333987,15.91090006188486,18.0
7471147147_R03C02,40.34396339555083,41.7
7786915016_R02C01,53.116747496978896,50.39999999999999
7786915051_R01C01,68.19666826627815,74.5
7471147068_R02C02,48.20969274644432,47.2
7471147095_R03C02,43.32573541123635,46.0
7786915148_R03C01,43.694569975774286,43.2
7786915128_R02C02,46.349819417569286,47.099999999999994
7471147089_R02C01,44.794532316774294,41.3
GSM2334313,54.69566786968125,54.0
7471147146_R06C02,34.71214618988582,35.9
7786915153_R01C01,52.43340445276734,52.7
7471147163_R05C01,55.96221998234699,56.8
7786923049_R02C01,41.880097384207104,42.3
7512551016_R04C01,44.2052157458036,40.2
7786923013_R01C02,44.27714890606396,45.7
7786915051_R04C02,44.9111698523403,44.7
7786923067_R01C01,41.82643946080833,44.0
7471147078_R06C02,47.66372692573657,47.89999999999999
7786915141_R03C01,50.84799864196201,50.0
GSM2334126,37.849366584930095,35.0
7507875168_R04C01,68.83645891205862,71.0
7786915016_R06C01,63.40402761991298,59.4
7786923049_R05C02,48.54654250845569,49.3
7786923041_R05C02,53.440319662176755,55.2
7786923014_R06C02,52.92092743871331,55.4
7471147122_R06C01,52.2061576048414,54.3
GSM2334325,13.238584259918253,16.0
GSM2334167,15.634692083092983,19.0
7786923018_R05C02,40.68300908689626,41.9
GSM2334019,69.51360812252756,73.0
7471147094_R02C02,40.139494938275675,38.2
7471147116_R02C01,49.208936739135694,49.4
7786923049_R04C02,70.10012423667322,73.20000000000002
7786923028_R05C01,42.17880290551898,42.0
GSM2333976,25.307385950194693,25.0
7471147049_R02C02,52.91585163508319,53.400000000000006
7786923005_R03C02,46.11776226238873,43.3
7471147120_R05C01,43.709960811193724,44.3
7507875142_R06C01,69.74941522455599,71.1
7507875154_R06C01,41.58831529421864,42.0
GSM2334112,36.08262112338597,36.0
7786915149_R06C01,46.11949735728784,46.2
7471147087_R06C02,62.31199684169308,66.3
7786915036_R01C01,33.36005741286981,36.2
7471147057_R04C01,37.802243613432026,35.6
GSM2334108,45.6787807422188,53.00000000000001
7507875119_R05C01,63.89704736935814,66.0
GSM2333940,83.50285558337251,79.0
7471147139_R02C01,59.22121630705096,54.70000000000001
7507875061_R01C01,45.92952983162128,44.099999999999994
7471147070_R01C02,39.65174377343142,36.10000000000001
7471147040_R05C02,66.43051593542535,67.8
7471147071_R03C02,55.017101784292805,51.2
GSM2334191,21.64190577314699,21.0
GSM2334573,57.477290630297354,59.0
7512560091_R06C02,52.822286967081894,53.7
GSM2334392,37.79711679769463,33.0
7786923003_R01C02,46.8522341978454,48.0
7786915127_R04C01,71.6770490126553,73.8
7471147006_R04C02,45.55610361499468,43.0
7471147105_R03C02,49.97951572163379,53.1
GSM2334171,52.017235587034385,48.0
7786923085_R01C02,37.30689025261108,38.599999999999994
7786915150_R06C01,48.63262846908109,50.0
7796806165_R05C02,37.93199177242137,40.7
7786915128_R01C01,48.589072467204105,49.89999999999999
GSM2334060,23.694099160697142,26.0
7786915138_R03C02,55.93706962306706,56.9
7471147024_R06C02,73.84958785186541,73.1
7786915063_R03C02,44.67146157562405,42.0
GSM2334321,17.889480612152315,19.0
7507875157_R06C02,43.17430263741494,40.3
7471147143_R06C01,36.83949037226871,35.6
7786915160_R06C02,43.06604410192464,38.2
7786915005_R06C02,51.54305144680352,53.1
7512560114_R04C02,42.77703707348961,41.7
7471147113_R05C01,64.59701183151114,62.599999999999994
7512551025_R06C02,42.038413211645235,47.89999999999999
7786923064_R06C02,36.748900752179885,35.5
7786915055_R01C02,54.986032816342345,52.8
7786915053_R03C02,49.01965173533435,45.900000000000006
7471147077_R04C01,26.99872199257532,23.700000000000003
7786915103_R04C01,39.73206306026614,39.2
7786923064_R04C01,46.11325713575101,49.5
7507875129_R05C02,69.30629892362043,68.1
7471147141_R04C02,40.602940850784876,43.0
GSM2334211,44.036366118602174,44.0
GSM2334330,44.82109163754134,44.0
GSM2334592,80.59083739836268,77.0
7786915130_R02C01,53.91413082162735,50.6
7786915138_R01C02,40.346238215573536,38.7
7512551025_R02C01,50.51191433620072,50.900000000000006
7471147096_R05C02,52.68503238189688,50.6
7471147034_R06C01,48.45328792828025,49.0
7507875119_R06C02,52.18805857349271,50.10000000000001
GSM2334379,47.072910270590214,47.0
GSM2334621,65.80432938784816,62.0
7786923026_R05C01,43.257576107074456,45.2
GSM2334264,52.506052265775885,53.00000000000001
GSM2334407,46.95619438982885,48.0
7786915051_R05C02,63.230302284925536,64.4
7471147099_R04C02,48.506367788643274,48.5
7786915023_R06C01,54.75760491260369,52.89999999999999
7786915046_R02C02,59.7992264513098,56.6
7786915048_R05C01,50.74556401290588,55.50000000000001
7786915023_R05C01,51.93539677119182,49.2
7786923010_R04C02,59.6106426177822,57.99999999999999
GSM2333962,19.78003058283566,23.0
7471147127_R02C02,36.56504170695007,36.10000000000001
7507875091_R04C02,66.37268060391847,67.4
7786915063_R06C01,50.6912122679175,46.4
GSM2334292,63.39141262667288,63.0
7786915008_R05C01,43.21530841821646,38.7
GSM2334373,77.31571318405904,72.0
7471147145_R06C01,47.699147230073294,45.6
7786915148_R05C01,46.92147409685546,49.3
7786915130_R04C01,52.106092596952585,55.2
7471147134_R02C02,61.194683899549744,66.1
7512551016_R06C02,65.22173943626383,70.3
7471147094_R06C02,52.01144003008424,52.4
7786915028_R05C02,48.98217596993989,45.8
7786915107_R04C02,77.20431529581882,71.3
7507875158_R01C02,36.302481956819136,36.4
7471147058_R04C01,52.715956016954856,54.8
7471147096_R05C01,70.20433653612926,73.1
7786915135_R03C02,43.57119380671526,37.2
GSM2333974,22.78502597039075,22.000000000000004
7786915028_R01C01,36.3037055225963,36.8
7471147072_R05C01,58.52099407842504,65.8
7471147030_R03C02,53.81820291609596,51.3
7512551029_R01C02,54.10094868274215,54.2
7786923040_R06C02,55.95748594699795,54.2
7786923036_R02C02,53.34160736530454,54.8
7796806163_R01C02,45.29126329596106,44.4
7471147083_R03C02,44.30256870109244,44.3
7786915093_R01C01,33.955890799016046,37.5
7507875047_R02C01,58.195676758100205,54.9
7786915029_R02C02,58.730634612344495,59.4
7507875026_R04C01,60.60617243125713,59.6
7786923012_R02C02,49.07923443604081,45.8
GSM2334376,17.358324055407618,21.0
7786923001_R01C02,42.38130283722863,42.900000000000006
GSM2334215,43.95778969977127,41.0
7471147096_R01C02,67.43202252829147,72.5
GSM2334616,47.25374992811456,51.0
7786923077_R06C02,59.92450945451661,62.9
7471147113_R01C01,43.348605949630524,43.0
7786923006_R05C01,62.21355699943188,62.1
7786915166_R05C01,49.96671600757737,49.4
GSM2334037,74.14501995579604,76.0
GSM2334630,67.74140778339242,70.0
7786923010_R01C01,54.52208977880182,59.699999999999996
7471147088_R01C01,54.45515570328862,52.20000000000001
7786915009_R06C01,62.613730021253055,64.30000000000001
GSM2334534,43.47534909997471,45.0
7471147040_R03C02,63.64046114805851,64.30000000000001
7471147055_R04C02,47.050190116470006,45.900000000000006
7507875150_R06C02,47.621172661866346,55.2
7786915120_R04C01,45.11822879029843,44.3
